ID,Username,Display name,Followers,Image,Bio,Website
1066583668901273601,TishaaWEB3,TISHA WEB3,564687,https://pbs.twimg.com/profile_images/1879432949017579520/Jvc6Gxpe_400x400.jpg,"#Bitcoin & #Crypto since 2017 | Hodler & GEM Hunter 💎 | #BTC, #ETH, & #NFT Marketing | Ph.D in Shitpost | WEB3 Enthusiast | Helping You Find Hidden Gems |",
1237393318423617543,Bitlanger,₿itlanger,397653,https://pbs.twimg.com/profile_images/1834892723511513088/X2Qq2zfZ_400x400.png,#Bitcoin & #crypto since 2017 | Hodler | Ph.D in shitpost | #BTC & #crypto Educator |  |#Defi + #NFT | WEB 3  #GameFi,http://t.me/BlTLANGER
1490446214772367364,emitothemoon,Emi Moon,340887,https://pbs.twimg.com/profile_images/1951757785865003008/V9KGHKRB_400x400.jpg,"Crypto, NFT & Alpha's | Advisor & Marketing Manager | Founder @bullish4gency  | Premium Crypto Promoter | Active on #BNB #BTC #SOL #ETH #BASE #SUI",http://bullishagency.pro
1016324267560955909,CryptoMaelle,Crypto Maelle,165191,https://pbs.twimg.com/profile_images/2039291847668051968/7fskj61t_400x400.jpg,AI 🤖 Bitcoin & #crypto | Hodler |  Community Building | #BTC & #Altcoins Educator | TRADER | #GameFi 💎 | #DeFi + #NFT + #WEB3 | Not Financial adviser. DYOR,http://t.me/CryptoMaelle
92839361,zhuanfgghjnb,蜡币小鑫,147485,https://pbs.twimg.com/profile_images/1607593522701701122/zv1J_K2-_400x400.jpg,"币圈资深老韭菜，涉及币圈多个领域，长期持有 #BTC #ETH #OKB #BNB 

一级投研｜二级韭菜｜三级拍片｜撸毛｜挖矿｜打新｜Gamefi｜DeFi｜NFT｜DYOR｜合作宣发｜与人为善｜与己为善｜

合作DM

TG：@LBXX8

https://t.co/pU4NUD8Y6N",https://www.binance.com/zh-CN/square/profile/LBXX
1563385588517990400,weingfo,WINGFO,142237,https://pbs.twimg.com/profile_images/2034643440345178112/sC5apXRq_400x400.jpg,"Indonesia's Crypto Community since 2022 🇮🇩
🚀 Alpha ✦︎ Trade ✦︎ Degen ✦︎ NFT

34K+ strong members with daily alpha calls, trade setups & NFT drops",https://t.me/infomindao
1264948973535735810,Hypodrop,HypoDrop,139470,https://pbs.twimg.com/profile_images/1790018532287135744/6Aj_iYu8_400x400.jpg,"Advertising Platform and Community based Dao
Pioneer alpha community with Supporting Early NFT,Web3 Projects  

📩 DM for Collab",https://t.me/HypoDrop
1782098159088406530,ZARGATES,ZarGates,129006,https://pbs.twimg.com/profile_images/1988675350662881280/-vO3HW1N_400x400.jpg,Publishing & Infrastructure for Gaming Companies | Community | Top NFT-sticker collection on Telegram | App: https://t.co/JVPK7TjQ5C | All posts NFA,http://zargates.com
1423273633951059979,nftsiy,0x思远,126877,https://pbs.twimg.com/profile_images/1991504591259856901/xgDTV0ph_400x400.jpg,"#Bitcoin| #ETH | #Web3 | #NFT | #DAO｜项目分析  丨 Web3 Advisory & Marketing |  合作私信 📩
tg: https://t.co/KZC2aVwWf2",
1206028694,0xRexnftcrypto,Rex,124505,https://pbs.twimg.com/profile_images/1990396554411216896/5yLhBYbM_400x400.jpg,"Nft & Crypto Expert🦅| Content Creator | Builder | Marketing & Collab Manager ( Hundreds of KOLs ) For paid partnerships, questions, send a DM 📥",http://t.me/RexMarketing
